Store Name,Location,Lat,Long,Timing,Contact Number
Lifestyle Stores,"Runwal Mulund, 639, LBS Marg, Mulund(west), Mumbai, India
",19.1604999,72.94457747,"Monday to Sunday, 10:00AM to 10:00PM",1800-123-1555
Lifestyle Stores,"International Pvt. Ltd., Inorbit Mall, Block No.1406, 'A' 28/1, Link Road, Malad (West), Mumbai, India
",19.1143222,72.8613992,"Monday to Sunday, 10:00AM to 10:00PM",1800-123-1555
Lifestyle Stores,"Forum Centre City Mall, Abba Road, Hyderali Road, Nazarbad Mohalla, Mysore, India
",12.318098,76.6654785,"Monday to Sunday, 10:00AM to 10:00PM",1800-123-1555
Lifestyle Stores,"VR Nagpur, VR Mall, UGF Medical to Bhaidyanath SQ, Nagpur, India
",21.1027428,79.1129849,"Monday to Sunday, 10:00AM to 10:00PM",1800-123-1555
Lifestyle Stores,"Seawood Grand, Seawoods Grand Central mall, Vashi, Navi Mumbai, India
",19.075784,72.9952364,"Monday to Sunday, 10:00AM to 10:00PM",1800-123-1555
Lifestyle Stores,"DLF Mall of India, Shop 201, 301 & 302, Plot No M 03, Sector 18, Noida, India
",28.5673659,77.32119893,"Monday to Sunday, 10:00AM to 10:00PM",1800-123-1555
Lifestyle Stores,"Raj Kamla Square, Bhupindra Road Next to Manipal Hospital Patiala, Patiala, India
",30.2090874,76.33987209,"Monday to Sunday, 10:00AM to 10:00PM",1800-123-1555
Lifestyle Stores,"City Centre Patna Opposite Lodhipur Fire Station., Patna Budh Marg, Christian Colony Lodhipur., Patna, India
",25.6043524,85.1383384,"Monday to Sunday, 10:00AM to 10:00PM",1800-123-1555
Lifestyle Stores,"Bund Garden Rd, Opp. Pune Sports Club, Pune, India
",18.5313058,73.8760903,"Monday to Sunday, 10:00AM to 10:00PM",1800-123-1555
Lifestyle Stores,"ICC Mall, Senapati Bapat Road, Pune, India
",18.521428,73.8544541,"Monday to Sunday, 10:00AM to 10:00PM",1800-123-1555
Lifestyle Stores,"Pune PMC, Phoenix Marketcity, Behind East Court, Viman Nagar, Pune, India
",18.5623853,73.8965795,"Monday to Sunday, 10:00AM to 10:00PM",1800-123-1555
Lifestyle Stores,"Seasons Mall, South Magarpatta City, Village Hadapsar, Tal-Haveli, Pune, India
",18.5190349,73.93128843,"Monday to Sunday, 10:00AM to 10:00PM",1800-123-1555
Lifestyle Stores,"City Centre, Uttorayon Twp,, Siliguri, India
",26.7245016,88.39671439,"Monday to Sunday, 10:00AM to 10:00PM",1800-123-1555
Lifestyle Stores,"Rahul Raj Mall, opp Valentain Mall, Dumas Road, Piplon, Surat, India
",21.15502815,72.76684095,"Monday to Sunday, 10:00AM to 10:00PM",1800-123-1555
Lifestyle Stores,"Voltas Compond, Viviana Mall,Ground Floor, Voltas Mill Compound, Thane, Thane, India
",19.1943294,72.9701779,"Monday to Sunday, 10:00AM to 10:00PM",1800-123-1555
Lifestyle Stores,"Metro Jnctn Mall, G8, Netivli Village, Shil Road, Kalyan East, Thane, India
",19.2278526,73.1322955,"Monday to Sunday, 10:00AM to 10:00PM",1800-123-1555
Lifestyle Stores,"Rams Maris, Near Trichy District Court, Contonment, Trichy, India
",10.804973,78.6870296,"Monday to Sunday, 10:00AM to 10:00PM",1800-123-1555
Lifestyle Stores,"Sobha City Mal, Sobhacity, 1A, Puzhakkal, Kunnamkulam road, Puzhakkal Padam, Trissur, India
",10.55006865,76.18333062,"Monday to Sunday, 10:00AM to 10:00PM",1800-123-1555
Lifestyle Stores,"Mall of Travancore, NH Bypass, Trivandrum, India
",8.48765555,76.92604576,"Monday to Sunday, 10:00AM to 10:00PM",1800-123-1555
Lifestyle Stores,"Revenue Wd No 11, Block No 4, MG Road, Vijaywada, India
",16.511298,80.6346206,"Monday to Sunday, 10:00AM to 10:00PM",1800-123-1555
Lifestyle Stores,"NH 16 Chinagantyada, Opposite CMR Mall Visakhapatnam, Visakhapatnam, India
",17.7231276,83.3012842,"Monday to Sunday, 10:00AM to 10:00PM",1800-123-1555
Lifestyle Stores,"D No. 10-28-1, Waltair Uplands, Opp Circuit House, Vizag, India
",17.72083175,83.20636862,"Monday to Sunday, 10:00AM to 10:00PM",1800-123-1555
